investment,count,percentage
Space,11,0.5238095238095238
Time,4,0.19047619047619047
Mental capacity,1,0.047619047619047616
Money,1,0.047619047619047616
To persue my flatmates to do so aswell,1,0.047619047619047616
Where to dispose the trash,1,0.047619047619047616
NA,2,0.09523809523809523
